title,release year,genre,key words,plot,run time /min,number of votes,rating
Don't Divorce Me! Kids' Rules for Parents on Divorce,2012,Documentary,title-directed-by-female|drawing|song|sadness|children|divorce|driving|car|apartment-building|apartment|chess|mother-daughter-relationship|stepfather-stepson-relationship|stepfather|dinner|dvd|home-video|home-movie|child's-point-of-view|child's-drawing|ice-skating|part-animation|father-daughter-relationship|singing|sign|writing|brother-sister-relationship|support-group|interview|memory|note|long-hair|photograph|family-photograph|photo-album|backyard|climbing-a-tree|teddy-bear|moving-out|packing|moving|graduation|visit|diploma|kindergarten|kindergarten-graduation|lunch|child-custody|diversity|boy|girl|little-boy|little-girl|lesbian|gay-parent|lesbian-mother|break-up|family-relationships|imperative-in-title,"A family special featuring conversations with young children along with their songs, drawings and heartfelt advice on divorce do's and don'ts. From kids to parents with love, sadness, and humor, an inspiring guide for families struggling to find their way.",30,27,6.4
Ein Sommer in Kroatien,2012,Romance,scolding|medical-examination|loyalty|jealousy|bare-chested-male|dinner,"After her wedding plans fall trough, Graz (Austria) luxury restaurant manager Ena finds old, unanswered letters from her Croatian grandmother Carmela, whom mother kept her apart from, and uses her three weeks 'honeymoon' to visit her native Istrian port Rovinj. There she finds grandma runs a hopelessly old-fashioned restaurant and accepts to stand in when Carmela breaks a leg, to th crone's daughter Tereza's fury. Meanwhile Ena slowly admits falling in love with handsome fisherman Matej, who helps keeping the near-bankrupt restaurant afloat while aspiring clam cultivation.",89,27,5.9
Johanna und der Buschpilot - Der Weg nach Afrika,2012,Drama,medical-examination|ritual|fall|drinking|contraband|bed,"Years ago, Dr. Wilhelm Zarrmann left his German clinic to start one for penniless natives in a godforsaken part of South Africa. KNowing his death is near, he writes to his daughter Johanna, who has had no contact but ran the German clinic with her fiancé Michael Kolle, who now also accompanies her and finds out he also tried to prevent companies moving in. Wilhelm dies just before they meet, but his right hand, adventurous pilot Thomas Marrach, is determined to make her stay long enough to care for and maybe take over the near-free clinic.",89,27,6.1
Ein weites Herz - Schicksalsjahre einer deutschen Familie,2013,Drama|War,germany|cabaret-performer|catholicism|nazi|singer|cabaret|faith|troubled-marriage|world-war-two|family-relationships,"Set in Germany in the years leading up to and through WW2, this is the story of a courageous and headstrong young woman, Isa, and her family.",105,27,6.4
Looking for Truffaut,2009,Documentary|Biography,new-wave|cannes-winner|french-filmmaking,A documentary charting the trajectory of one of the greatest filmmakers of all time.,25,27,6.8
Inside the Perfect Predator,2010,Documentary,nile-river|shark|south-africa|wildebeest|peregrine-falcon|metabolism|falcon|cheetah|crocodile|seal-the-animal|migration|hyena|london-england|great-white-shark|savannah|pigeon|cave,"Four top predators are compared, each champion in a type of environment, with key adaptations. On the ground, the cheetah outruns prey (approached in masterly stealth) and enemies. In the air, the peregrine falcon is a flight and diving machine. In sweet water, the Nile crocodile survives since the Dino age, without natural enemies, with several amazing metabolism stunts. Lurking under water, it snaps blindly at migrating wildebeest, then waits underground. In the oceans, the equally ancient shark, notably the great white, migrates seasonally to find abundant prey, such as young seals around South Africa.",60,27,7.3
Eine Sennerin zum Verlieben,2010,Comedy|Drama,munich-germany|bavaria-germany|dairy-farm|mother-daughter-relationship|former-lover|biological-father|tax-inspector|debt|falling-in-love|bavarian-alps|hillside|cow|hut,Ariane Ostler manages a dairy farm in the mountains of Bavaria.Her former lover Georg visits her to live again a new love.Bernhard Maywald is a income tax inspector send to Reichertsbrunn.,89,27,5.8
A Bipolar Expedition,2010,Documentary,psychology,Midland's businessman Paul Downes hires a castle in Jamaica and invites 12 young Ukrainian women to join him in the hope one will marry him. Paul suffers bi-polar disorder and has a manic episode - his plans turn bizarre and troubling.,65,27,5.9
The Great Escape: The Reckoning,2009,Documentary,reenactment,"The story behind the Hollywood film 'The Great Escape', examining the search for the Gestapo men who murdered 50 of the escapers.",52,27,7.4
Spies and Lies,2010,Drama,conspiracy,"Based on the book: 'The Plot to Subvert Wartime New Zealand' by Hugh Price A true story. 1942. New Zealand is at war. Times are desperate. The Japanese invasion seems imminent. At this perilous moment, confidence trickster Syd Ross completes his sentence and is released from Waikeria Prison. He makes a phone call and finds himself in front of Prime Minister Fraser. Syd tells a tale of sabotage and assassination, of a Nazi plot to take over New Zealand. Fraser contacts Major Folkes, head of the Security Intelligence Bureau. Folkes seizes on Ross' story, gives Ross a new identity, a car, money and accommodation at The Grand in Rotorua. Ross is to gather evidence on the 'Nazi plot'. As he does so, Folkes puts together a secret dossier, embroidering Ross' lies and building a picture of a country in extreme danger. SPIES AND LIES is a ripping yarn about conspiracy, incompetence, and an extraordinary hoax that challenged the highest levels of New Zealand government.",25,27,7.3
Circledrawers,2009,Sci-Fi,angel,"Welcome to world of the Circledrawers - lowly janitors of the Almighty's imperfect system, angels living among us and performing the most mundane of tasks. Oleg, a special emissary has arrived at transmission central in Iceland to do the semi-centennial report on the efficiency of the Circledrawer system. He introduces himself to the team and begins his analysis of these poor creatures were once human but, due to unproductive or lackluster lives, have been reborn as angels. They are condemned to complete a near impossible list of 1571 tasks in the hope of being reborn as human once more. But the report is not Oleg's only task in Iceland, as Lewis, a young man in New York, is about to find out. Accidentally undetected by the system for twenty years, he was born and raised human. But now his human life will be erased and his life as a Circledrawer begins. As Oleg continues his report in Iceland, Lewis is placed in the care of two seasoned Circledrawers, Marcus and Moses, who introduce him to their strange limbo reality, including: the women who govern it (including Sharon Angela of the ""Sopranos""), the attention-starved Human Protector (Steve Schirripa of the ""Sopranos"") who assists in transitioning, and the wonders of batteries, flashlights, and prostitute nights. But can Lewis really leave his former human life behind? And is there something Oleg isn't sharing about his mission to Iceland and the true identity and calling of Lewis? Welcome to the clumsy, humorous, pathetic bureaucrats of the after- and before-life. Welcome to THE CIRCLEDRAWERS.",60,27,8.4
The Brave Judge,2018,Crime|Drama|History,based-on-true-story,"France, 1911. Louise Perreau is struggling financially to raise her son Gaston. A new job in Paris brings her the hope of a better life, but she has to enroll her son at Les Vermiraux, where children are supposed to get a good education.",96,26,7.0
I Just Wanted to Go Home,2017,Crime|Drama,false-accusation|prison|sodomy|based-on-real-events|true-crime|male-objectification|male-in-underwear|bare-chested-male|barefoot-male|police|strip-search|taking-off-clothes|stripping|undressing|taking-off-underwear|embarrassing-nudity|embarrassing-male-nudity|male-nudity|nudity|crotch-grab|grabbing-one's-crotch|cmnm-scene|cmnm|clothed-male-naked-male|male-rear-nudity|bare-butt|based-on-true-story,"In September 1986, two children were brutally killed in the suburbs of Metz. This is the beginning of ""The Patrick Dils Affair"", one of the most emblematic judicial errors in the annals of French justice.",91,26,6.8
Inside Story: National Lampoon's Vacation,2011,Documentary,making-of,A look at the making of the classic comedy film.,85,26,7.6
When Harry Met Meghan: A Royal Romance,2017,Documentary|Romance,reference-to-prince-harry|reference-to-meghan-markle|television-actress|prince|british-royalty|name-in-title|reference-to-princess-diana|seven-word-title|narration|2010s,A profile of the American actress who has won the heart of Prince Harry. Royal experts provide an insight into the couple's romance and friends and colleagues discuss Meghan's childhood in Los Angeles.,48,26,6.6
Mordkommission Königswinkel,2017,Crime|Drama,gagged|sabotage|in-laws|vomiting|bathing-scene|urination|contraband|father-son-relationship|kidnapping|bully|dinner|boy|bare-chested-male|adolescent,"Police commissioner Thomas Stark, released from jail after three years after the trial for the murder of his former partner was quashed, is picked up and housed not by his wife, who disowned him and hesitates whether to reestablish contact with their bratty teen daughter, but by his discredited attorney Rainer Kessler. Stark insists instantly to rejoin his Füssen precinct in Königswinkel, where doubt remain concerning his innocence. Captain Mehrin assigns him not above loyal believer Peter Breitkreuz but under openly hostile Julia Bachleitner, to keep an eye on him for chief and her husband, state attorney Magnus Bachleitner. Their first case is the murder of local newspaper reporter Schäfer; who sought his first great scoop investigating the Italian mafia connections in Allgäu. Despite sabotage from Julia, Thomas does a good job, using his rapport with former classmate and restaurant owner Francesco Danesi only to be mistrusted by both sides. The missing evidence apparently gathered by Schäfer seems the link with the next murder of his wife Claudia. Only Stark realizes the grim danger at brother in law Peter Breitkreuz's derelict farm, where he must raise his two young kids alone while Julia dumbly walks straight into danger.",88,26,5.9
